date,application,page_views
2020-12-14,FIND EQA directory (COVID-19),0
2020-12-14,FIND NGS Capacity (COVID-19),0
2020-12-14,FIND Sars-CoV-2 Policy dashboard,0
2020-12-14,FIND Sars-CoV-2 Test tracker,1205
2020-12-14,FIND Test directory (COVID-19),1
2020-12-14,FIND Test directory (Ebola),0
2020-12-14,FIND Test directory (Monkeypox),0
2020-12-14,FIND Test directory (NTDs),0
2020-12-21,FIND EQA directory (COVID-19),0
2020-12-21,FIND NGS Capacity (COVID-19),0
2020-12-21,FIND Sars-CoV-2 Policy dashboard,0
2020-12-21,FIND Sars-CoV-2 Test tracker,1274
2020-12-21,FIND Test directory (COVID-19),21
2020-12-21,FIND Test directory (Ebola),0
2020-12-21,FIND Test directory (Monkeypox),0
2020-12-21,FIND Test directory (NTDs),0
2020-12-28,FIND EQA directory (COVID-19),0
2020-12-28,FIND NGS Capacity (COVID-19),0
2020-12-28,FIND Sars-CoV-2 Policy dashboard,0
2020-12-28,FIND Sars-CoV-2 Test tracker,1111
2020-12-28,FIND Test directory (COVID-19),1
2020-12-28,FIND Test directory (Ebola),0
2020-12-28,FIND Test directory (Monkeypox),0
2020-12-28,FIND Test directory (NTDs),0
2021-01-04,FIND EQA directory (COVID-19),0
2021-01-04,FIND NGS Capacity (COVID-19),0
2021-01-04,FIND Sars-CoV-2 Policy dashboard,0
2021-01-04,FIND Sars-CoV-2 Test tracker,1377
2021-01-04,FIND Test directory (COVID-19),5
2021-01-04,FIND Test directory (Ebola),0
2021-01-04,FIND Test directory (Monkeypox),0
2021-01-04,FIND Test directory (NTDs),0
2021-01-11,FIND EQA directory (COVID-19),0
2021-01-11,FIND NGS Capacity (COVID-19),0
2021-01-11,FIND Sars-CoV-2 Policy dashboard,0
2021-01-11,FIND Sars-CoV-2 Test tracker,1031
2021-01-11,FIND Test directory (COVID-19),2
2021-01-11,FIND Test directory (Ebola),0
2021-01-11,FIND Test directory (Monkeypox),0
2021-01-11,FIND Test directory (NTDs),0
2021-01-18,FIND EQA directory (COVID-19),0
2021-01-18,FIND NGS Capacity (COVID-19),0
2021-01-18,FIND Sars-CoV-2 Policy dashboard,0
2021-01-18,FIND Sars-CoV-2 Test tracker,893
2021-01-18,FIND Test directory (COVID-19),57
2021-01-18,FIND Test directory (Ebola),0
2021-01-18,FIND Test directory (Monkeypox),0
2021-01-18,FIND Test directory (NTDs),0
2021-01-25,FIND EQA directory (COVID-19),0
2021-01-25,FIND NGS Capacity (COVID-19),0
2021-01-25,FIND Sars-CoV-2 Policy dashboard,0
2021-01-25,FIND Sars-CoV-2 Test tracker,826
2021-01-25,FIND Test directory (COVID-19),10
2021-01-25,FIND Test directory (Ebola),0
2021-01-25,FIND Test directory (Monkeypox),0
2021-01-25,FIND Test directory (NTDs),0
2021-02-01,FIND EQA directory (COVID-19),0
2021-02-01,FIND NGS Capacity (COVID-19),0
2021-02-01,FIND Sars-CoV-2 Policy dashboard,0
2021-02-01,FIND Sars-CoV-2 Test tracker,763
2021-02-01,FIND Test directory (COVID-19),51
2021-02-01,FIND Test directory (Ebola),0
2021-02-01,FIND Test directory (Monkeypox),0
2021-02-01,FIND Test directory (NTDs),0
2021-02-08,FIND EQA directory (COVID-19),0
2021-02-08,FIND NGS Capacity (COVID-19),0
